iter	Passed	Remaining
213	25012	91866
214	25106	91669
215	25200	91469
216	25295	91272
217	25393	91090
218	25493	90916
219	25589	90727
220	25686	90542
221	25787	90373
222	25887	90198
223	25979	90000
224	26085	89849
225	26179	89658
226	26287	89516
227	26396	89378
228	26496	89208
229	26585	89004
230	26696	88871
231	26800	88718
232	26890	88519
233	27003	88394
234	27091	88191
235	27197	88046
236	27302	87899
237	27397	87719
238	27510	87595
239	27604	87414
240	27702	87245
241	27800	87078
242	27891	86889
243	27986	86711
244	28080	86533
245	28176	86362
246	28271	86187
247	28364	86009
248	28458	85834
249	28558	85675
250	28652	85500
251	28757	85359
252	28867	85233
253	28973	85094
254	29081	84962
255	29189	84832
256	29298	84703
257	29412	84588
258	29513	84437
259	29608	84271
260	29701	84097
261	29796	83930
262	29890	83761
263	29983	83591
264	30076	83419
265	30171	83256
266	30268	83095
267	30362	82931
268	30457	82768
269	30565	82641
270	30665	82491
271	30758	82323
272	30853	82162
273	30949	82005
274	31046	81849
275	31142	81693
276	31237	81533
277	31331	81372
278	31432	81227
279	31541	81105
280	31642	80965
281	31742	80820
282	31844	80680
283	31939	80523
284	32036	80372
285	32135	80225
286	32237	80087
287	32335	79939
288	32438	79805
289	32536	79658
290	32636	79516
291	32733	79368
292	32838	79238
293	32933	79084
294	33030	78937
295	33132	78800
296	33238	78675
297	33344	78549
298	33442	78405
299	33536	78251
300	33635	78109
301	33727	77954
302	33823	77804
303	33916	77651
304	34013	77505
305	34105	77349
306	34201	77203
307	34296	77055
308	34388	76902
309	34482	76750
310	34577	76603
311	34676	76465
312	34772	76320
313	34864	76169
314	34956	76015
315	35052	75872
316	35146	75725
317	35240	75578
318	35333	75429
319	35429	75287
320	35523	75140
321	35633	75030
322	35729	74887
323	35827	74750
324	35922	74608
325	36023	74477
326	36122	74343
327	36215	74198
328	36309	74053
329	36407	73918
330	36507	73786
331	36604	73650
332	36703	73516
333	36804	73389
334	36904	73258
335	37004	73127
336	37102	72993
337	37201	72861
338	37303	72736
339	37402	72605
340	37503	72478
341	37602	72346
342	37704	72221
343	37803	72090
344	37903	71961
345	38005	71836
346	38106	71710
347	38207	71584
348	38323	71486
349	38423	71358
350	38527	71238
351	38629	71112
352	38737	71001
353	38839	70876
354	38942	70755
355	39052	70645
356	39152	70518
357	39256	70398
358	39360	70279
359	39465	70161
360	39573	70047
361	39679	69931
362	39781	69810
363	39889	69697
364	39997	69584
365	40104	69470
366	40220	69372
367	40331	69264
368	40443	69159
369	40554	69052
370	40764	69112
371	40885	69022
372	40997	68915
373	41105	68802
374	41213	68688
375	41327	68586
376	41447	68492
377	41560	68387
378	41670	68278
379	41794	68190
380	41911	68092
381	42029	67995
382	42147	67898
383	42265	67800
384	42392	67717
385	42509	67618
386	42624	67516
387	42745	67424
388	42864	67326
389	42980	67226
390	43098	67127
391	43215	67028
392	43337	66936
393	43453	66834
394	43575	66742
395	43706	66662
396	43836	66582
397	43966	66501
398	44091	66413
399	44215	66323
400	44340	66234
401	44463	66142
402	44589	66054
403	44720	65973
404	44852	65894
405	44988	65820
406	45122	65743
407	45254	65663
408	45396	65597
409	45530	65519
410	45674	65455
411	45819	65393
412	45953	65313
413	46086	65234
414	46227	65164
415	46360	65083
416	46497	65007
417	46664	64972
418	46836	64944
419	46985	64884
420	47118	64802
421	47252	64719
422	47394	64649
423	47539	64582
424	47718	64559
425	47907	64551
426	48052	64482
427	48190	64404
428	48338	64338
429	48488	64275
430	48669	64252
431	48839	64215
432	49001	64166
433	49150	64099
434	49297	64029
435	49488	64017
436	49672	63994
437	49840	63950
438	50009	63907
439	50208	63901
440	50433	63928
441	50670	63968
442	50868	63959
443	51108	64001
444	51307	63990
445	51493	63962
446	51665	63917
447	51862	63902
448	52074	63904
449	52253	63865
450	52420	63811
451	52586	63754
452	52753	63700
453	52915	63638
454	53081	63581
455	53233	63506
456	53380	63425
457	53526	63343
458	53676	63265
459	53827	63189
460	53968	63099
461	54118	63021
462	54251	62921
463	54386	62826
464	54523	62731
465	54659	62635
466	54797	62541
467	54930	62441
468	55063	62342
469	55186	62231
470	55311	62122
471	55441	62019
472	55567	61911
473	55693	61803
474	55817	61693
475	55937	61578
476	56066	61473
477	56184	61356
478	56301	61237
479	56419	61121
480	56539	61006
481	56655	60886
482	56774	60770
483	56886	60647
484	57007	60533
485	57124	60415
486	57236	60292
487	57351	60171
488	57461	60046
489	57570	59920
490	57684	59798
491	57803	59683
492	57921	59566
493	58028	59437
494	58142	59317
495	58265	59205
496	58375	59079
497	58482	58952
498	58596	58831
499	58708	58708
500	58815	58580
501	58921	58452
502	59028	58324
503	59142	58203
504	59248	58075
505	59354	57946
506	59464	57822
507	59570	57694
508	59682	57572
509	59800	57455
510	59909	57330
511	60016	57203
512	60127	57079
513	60231	56950
514	60343	56828
515	60451	56702
516	60557	56575
517	60670	56453
518	60778	56328
519	60879	56196
520	60973	56058
521	61066	55919
522	61170	55790
523	61264	55652
524	61363	55519
525	61462	55386
526	61569	55260
527	61677	55135
528	61783	55009
529	61894	54887
530	62004	54764
531	62117	54644
532	62237	54530
533	62353	54413
534	62462	54289
535	62572	54167
536	62683	54045
537	62792	53922
538	62912	53808
539	63024	53687
540	63135	53565
541	63241	53439
542	63348	53315
543	63459	53193
544	63574	53075
545	63692	52960
546	63802	52838
547	63904	52709
548	64001	52576
549	64094	52441
550	64192	52309
551	64283	52172
552	64377	52037
553	64471	51902
554	64568	51770
555	64664	51638
556	64758	51504
557	64853	51371
558	64947	51237
559	65039	51102
560	65133	50969
561	65231	50838
562	65336	50713
563	65435	50584
564	65528	50451
565	65623	50318
566	65718	50186
567	65813	50055
568	65919	49931
569	66018	49803
570	66113	49671
571	66209	49541
572	66301	49408
573	66394	49275
574	66487	49142
575	66583	49012
576	66677	48881
577	66772	48750
578	66868	48621
579	66962	48489
580	67054	48357
581	67149	48227
582	67258	48107
583	67352	47976
584	67446	47846
585	67540	47715
586	67726	47650
587	67822	47522
588	67920	47394
589	68025	47272
590	68126	47146
591	68237	47028
592	68336	46902
593	68435	46775
594	68531	46647
595	68634	46523
596	68731	46396
597	68831	46271
598	68930	46145
599	69031	46021
600	69125	45891
601	69228	45769
602	69321	45639
603	69421	45514
604	69514	45385
605	69606	45255
606	69701	45128
607	69795	44999
608	69890	44871
609	69982	44742
610	70075	44614
611	70169	44486
612	70274	44365
613	70371	44239
614	70463	44111
615	70560	43985
616	70659	43861
617	70753	43734
618	70862	43616
619	70961	43492
620	71060	43368
621	71157	43243
622	71263	43124
623	71366	43002
624	71470	42882
625	71569	42758
626	71671	42637
627	71769	42513
628	71870	42391
629	71970	42268
630	72069	42145
631	72167	42021
632	72274	41903
633	72373	41780
634	72493	41669
635	72619	41562
636	72749	41456
637	72853	41336
638	72957	41216
639	73063	41098
640	73168	40978
641	73280	40863
642	73383	40743
643	73488	40623
644	73591	40503
645	73712	40393
646	73829	40281
647	73951	40171
648	74070	40059
649	74196	39951
650	74329	39847
651	74457	39741
652	74565	39623
653	74677	39508
654	74783	39389
655	74889	39271
656	74997	39153
657	75108	39038
658	75216	38920
659	75330	38806
660	75439	38689
661	75548	38573
662	75662	38459
663	75770	38341
664	75878	38224
665	75986	38107
666	76104	37995
667	76225	37884
668	76346	37773
669	76462	37660
670	76580	37548
671	76711	37442
672	76827	37329
673	76943	37216
674	77057	37101
675	77174	36988
676	77292	36876
677	77411	36764
678	77526	36651
679	77645	36539
680	77761	36425
681	77878	36312
682	78002	36203
683	78126	36093
684	78252	35984
685	78385	35878
686	78506	35767
687	78633	35659
688	78758	35550
689	78884	35441
690	79020	35336
691	79146	35226
692	79268	35116
693	79400	35009
694	79548	34909
695	79687	34805
696	79817	34698
697	79951	34592
698	80109	34496
699	80284	34407
700	80528	34348
701	80732	34271
702	80962	34204
703	81148	34119
704	81350	34040
705	81583	33973
706	81827	33911
707	82027	33830
708	82225	33748
709	82463	33682
710	82691	33611
711	82907	33535
712	83106	33452
713	83348	33386
714	83552	33304
715	83751	33220
716	83968	33142
717	84230	33082
718	84479	33016
719	84695	32937
720	84951	32873
721	85217	32812
722	85473	32747
723	85734	32683
724	85946	32600
725	86166	32520
726	86439	32459
727	86671	32382
728	86918	32311
729	87170	32241
730	87371	32151
731	87617	32078
732	87872	32008
733	88103	31928
734	88308	31839
735	88496	31743
736	88667	31641
737	88833	31537
738	89015	31438
739	89192	31337
740	89346	31229
741	89485	31115
742	89629	31002
743	89764	30886
744	89918	30777
745	90054	30661
746	90188	30545
747	90316	30427
748	90458	30313
749	90590	30196
750	90714	30077
751	90841	29958
752	90964	29838
753	91092	29719
754	91218	29600
755	91346	29482
756	91463	29360
757	91582	29238
758	91704	29118
759	91822	28996
760	91936	28873
761	92053	28751
762	92173	28630
763	92289	28508
764	92399	28384
765	92511	28260
766	92631	28139
767	92741	28015
768	92850	27891
769	92958	27766
770	93062	27641
771	93164	27514
772	93267	27389
773	93378	27265
774	93482	27139
775	93588	27015
776	93696	26890
777	93809	26768
778	93936	26649
779	94056	26528
780	94176	26407
781	94272	26280
782	94373	26154
783	94481	26030
784	94587	25906
785	94768	25802
786	94865	25675
787	94972	25551
788	95068	25423
789	95163	25296
790	95257	25169
791	95350	25041
792	95445	24914
793	95538	24787
794	95633	24660
795	95738	24535
796	95831	24408
797	95927	24282
798	96021	24155
799	96116	24029
800	96214	23903
801	96307	23776
802	96402	23650
803	96494	23523
804	96588	23397
805	96683	23271
806	96793	23148
807	96886	23022
808	96979	22896
809	97067	22768
810	97165	22644
811	97256	22517
812	97346	22390
813	97441	22265
814	97531	22139
815	97625	22013
816	97719	21888
817	97815	21763
818	97906	21637
819	97999	21512
820	98088	21386
821	98181	21260
822	98276	21136
823	98371	21011
824	98465	20886
825	98564	20762
826	98653	20637
827	98744	20512
828	98842	20388
829	98933	20263
830	99027	20139
831	99119	20014
832	99209	19889
833	99301	19765
834	99396	19641
835	99500	19519
836	99596	19395
837	99688	19271
838	99787	19148
839	99881	19025
840	99977	18901
841	100066	18777
842	100158	18653
843	100254	18530
844	100347	18406
845	100439	18283
846	100528	18159
847	100621	18035
848	100732	17915
849	100835	17794
850	100929	17671
851	101025	17549
852	101119	17426
853	101216	17304
854	101321	17183
855	101429	17062
856	101544	16943
857	101657	16824
858	101769	16704
859	101878	16584
860	101987	16464
861	102097	16345
862	102210	16225
863	102321	16106
864	102434	15986
865	102554	15868
866	102678	15751
867	102792	15632
868	102919	15514
869	103036	15396
870	103155	15277
871	103285	15161
872	103385	15039
873	103481	14918
874	103578	14796
875	103676	14675
876	103776	14554
877	103880	14434
878	103977	14313
879	104074	14192
880	104170	14070
881	104267	13949
882	104366	13828
883	104466	13708
884	104565	13587
885	104663	13466
886	104778	13348
887	104884	13228
888	104990	13108
889	105090	12988
890	105190	12868
891	105292	12748
892	105405	12629
893	105520	12511
894	105621	12391
895	105725	12271
896	105825	12151
897	105940	12033
898	106040	11913
899	106139	11793
900	106245	11674
901	106368	11556
902	106488	11438
903	106599	11320
904	106705	11201
905	106812	11082
906	106923	10963
907	107027	10844
908	107130	10724
909	107235	10605
910	107350	10487
911	107458	10368
912	107566	10250
913	107669	10130
914	107777	10012
915	107884	9893
916	108124	9786
917	108252	9669
918	108383	9552
919	108514	9436
920	108632	9318
921	108744	9199
922	108858	9081
923	108986	8964
924	109096	8845
925	109212	8727
926	109324	8609
927	109449	8491
928	109563	8373
929	109678	8255
930	109795	8137
931	109915	8019
932	110061	7903
933	110201	7787
934	110343	7670
935	110481	7554
936	110624	7437
937	110779	7322
938	110931	7206
939	111065	7089
940	111209	6972
941	111340	6855
942	111466	6737
943	111597	6620
944	111743	6503
945	111869	6385
946	112005	6268
947	112153	6151
948	112283	6034
949	112411	5916
950	112559	5799
951	112688	5681
952	112816	5563
953	112964	5446
954	113110	5329
955	113259	5212
956	113430	5096
957	113573	4979
958	113713	4861
959	113866	4744
960	114031	4627
961	114170	4509
962	114328	4392
963	114496	4275
964	114662	4158
965	114840	4042
966	114982	3923
967	115129	3805
968	115284	3688
969	115436	3570
970	115616	3453
971	115811	3336
972	115960	3217
973	116119	3099
974	116282	2981
975	116451	2863
976	116648	2746
977	116793	2627
978	116927	2508
979	117055	2388
980	117202	2269
981	117354	2151
982	117496	2031
983	117635	1912
984	117780	1793
985	117942	1674
986	118153	1556
987	118319	1437
988	118453	1317
989	118610	1198
990	118800	1078
991	119006	959
992	119193	840
993	119367	720
994	119554	600
995	119747	480
996	119937	360
997	120107	240
998	120271	120
999	120421	0
