iter	Logloss
0	0.3436233219
1	0.1840432304
2	0.1334656755
3	0.1049942444
4	0.08205357096
5	0.06976375971
6	0.06145564974
7	0.05496880511
8	0.04935768125
9	0.04504744683
10	0.0398287881
11	0.03777008187
12	0.03567379102
13	0.03328523617
14	0.03051220302
15	0.02899481964
16	0.02744000955
17	0.02634742073
18	0.02499633869
19	0.02361108344
20	0.02245489491
21	0.02145801228
22	0.02081424503
23	0.01983835719
24	0.01896891252
25	0.01819335055
26	0.01792002582
27	0.01746237917
28	0.01679322045
29	0.01629514749
30	0.01593992968
31	0.01553199612
32	0.01500636675
33	0.01468677616
34	0.014192083
35	0.01392332051
36	0.01374691782
37	0.01349791842
38	0.01307430151
39	0.01266140632
40	0.0124734481
41	0.01214370907
42	0.01188849332
43	0.0117033435
44	0.01148226722
45	0.01137683704
46	0.01124112202
47	0.01095289497
48	0.01075097035
49	0.01062132587
50	0.01035797616
51	0.01018563742
52	0.01003383063
53	0.009943670082
54	0.009794517566
55	0.009691913058
56	0.00961636118
57	0.009525937131
58	0.009360751734
59	0.009209121482
60	0.009150745559
61	0.009020307339
62	0.008889505847
63	0.008674817933
64	0.008589313819
65	0.008450425184
66	0.008329536772
67	0.008155898497
68	0.008095551579
69	0.008037139753
70	0.007946870055
71	0.007864625409
72	0.007782281655
73	0.007660846973
74	0.007602272366
75	0.00745485065
76	0.007394779035
77	0.007330985693
78	0.007272779618
79	0.007222336405
80	0.007170057222
81	0.007120974013
82	0.007068965615
83	0.007016697432
84	0.006962253251
85	0.006903996366
86	0.00685257391
87	0.006770196927
88	0.006734579
89	0.006651541491
90	0.006591269842
91	0.006537381647
92	0.006511119415
93	0.006416950128
94	0.006332503171
95	0.00629207821
96	0.006240732432
97	0.00619656704
98	0.006105161947
99	0.006083497842
100	0.006050930054
101	0.005997108738
102	0.005904750899
103	0.005872434831
104	0.005815765487
105	0.005741830029
106	0.005726054461
107	0.005699148062
108	0.00565931357
109	0.005641877645
110	0.005615216909
111	0.005601360461
112	0.005542467487
113	0.005517371216
114	0.005467706213
115	0.00545366234
116	0.005434106183
117	0.005371121216
118	0.005301921349
119	0.005253323012
120	0.005196688683
121	0.0051535906
122	0.005089610867
123	0.005016742212
124	0.004938613825
125	0.004892867672
126	0.004859273099
127	0.004836102823
128	0.004822670435
129	0.004782220226
130	0.004760133106
131	0.004733308532
132	0.004687150133
133	0.004668020924
134	0.004649275549
135	0.004590276675
136	0.004573240474
137	0.004545172504
138	0.004500612508
139	0.004500561032
140	0.004500561032
141	0.004500561032
142	0.004500561032
143	0.004500561032
144	0.00445444845
145	0.004429141785
146	0.004402603042
147	0.00436437279
148	0.004344324227
149	0.00432623596
150	0.0043077812
151	0.004286647334
152	0.004286647334
153	0.004248678314
154	0.004248678314
155	0.0041996224
156	0.0041641353
157	0.004164301264
158	0.004164301264
159	0.004150202105
160	0.004150204318
161	0.004150116152
162	0.004150021218
163	0.004149988254
164	0.004149962894
165	0.004149979776
166	0.004149959483
167	0.004149949334
168	0.004149909895
169	0.004149847427
170	0.00414981874
171	0.004149757843
172	0.004149688649
173	0.004149608988
174	0.004149605665
175	0.004130955166
176	0.00408132305
177	0.004066165345
178	0.004030996172
179	0.003992125259
180	0.003971715987
181	0.003929371395
182	0.00390948162
183	0.003889839636
184	0.003889778754
185	0.003889834524
186	0.003889755002
187	0.003880944791
188	0.003848460431
189	0.003831359312
190	0.003813092123
191	0.003813087283
192	0.003813087283
193	0.003794823244
194	0.003771526847
195	0.003771347208
196	0.00374850138
197	0.003733826702
198	0.003733826702
199	0.003733790996
200	0.003733770922
201	0.003733712578
202	0.003733705954
203	0.003733719748
204	0.003733709557
205	0.003733747857
206	0.003733633313
207	0.003733613766
208	0.003733666975
209	0.003733591273
210	0.003733626472
211	0.003733520569
212	0.003733536329
213	0.003733587213
214	0.003733551289
215	0.003733524716
216	0.003733435646
217	0.003733453899
218	0.003733426305
219	0.003733396031
220	0.003733358792
221	0.003733364812
222	0.003733348409
223	0.003733294726
224	0.003733243883
225	0.003733243883
226	0.003709415727
227	0.003680949516
228	0.003669466216
229	0.00366935792
230	0.003641528457
231	0.003624855624
232	0.003624917725
233	0.003589307232
234	0.003589292103
235	0.003578272619
236	0.003556514698
237	0.003556563856
238	0.003541212643
239	0.003541121141
240	0.003541158481
241	0.00354118567
242	0.00354114378
243	0.003541131644
244	0.003541158301
245	0.003541176091
246	0.003541164822
247	0.00354115138
248	0.00354115138
249	0.00354115138
250	0.00354115138
251	0.00354115138
252	0.00354115138
253	0.00354115138
254	0.00354115138
255	0.00354115138
256	0.00354115138
257	0.00354115138
258	0.00354115138
259	0.00354115138
260	0.00354115138
261	0.00354115138
262	0.00354115138
263	0.00354115138
264	0.00354115138
265	0.00354115138
266	0.00354115138
267	0.00354115138
268	0.00354115138
269	0.00354115138
270	0.00354115138
271	0.00354115138
272	0.00354115138
273	0.00354115138
274	0.00354115138
275	0.00354115138
276	0.00354115138
277	0.00354115138
278	0.00354115138
279	0.00354115138
280	0.00354115138
281	0.00354115138
282	0.00354115138
283	0.00354115138
284	0.00354115138
285	0.00354115138
286	0.00354115138
287	0.00354115138
288	0.00354115138
289	0.00354115138
290	0.00354115138
291	0.00354115138
292	0.00354115138
293	0.00354115138
294	0.00354115138
295	0.00354115138
296	0.00354115138
297	0.00354115138
298	0.00354115138
299	0.00354115138
300	0.00354115138
301	0.00354115138
302	0.00354115138
303	0.00354115138
304	0.00354115138
305	0.00354115138
306	0.00354115138
307	0.00354115138
308	0.00354115138
309	0.00354115138
310	0.00354115138
311	0.00354115138
312	0.00354115138
313	0.00354115138
314	0.00354115138
315	0.00354115138
316	0.00354115138
317	0.00354115138
318	0.00354115138
319	0.00354115138
320	0.00354115138
321	0.00354115138
322	0.00354115138
323	0.00354115138
324	0.00354115138
325	0.00354115138
326	0.00354115138
327	0.00354115138
328	0.00354115138
329	0.00354115138
330	0.00354115138
331	0.00354115138
332	0.00354115138
333	0.00354115138
334	0.00354115138
335	0.00354115138
336	0.00354115138
337	0.00354115138
338	0.00354115138
339	0.00354115138
340	0.00354115138
341	0.00354115138
342	0.00354115138
343	0.00354115138
344	0.00354115138
345	0.00354115138
346	0.00354115138
347	0.00354115138
348	0.00354115138
349	0.00354115138
350	0.00354115138
351	0.00354115138
352	0.00354115138
353	0.00354115138
354	0.00354115138
355	0.00354115138
356	0.00354115138
357	0.00354115138
358	0.00354115138
359	0.00354115138
360	0.00354115138
361	0.00354115138
362	0.00354115138
363	0.00354115138
364	0.00354115138
365	0.00354115138
366	0.00354115138
367	0.00354115138
368	0.00354115138
369	0.00354115138
370	0.00354115138
371	0.00354115138
372	0.00354115138
373	0.00354115138
374	0.00354115138
375	0.00354115138
376	0.00354115138
377	0.00354115138
378	0.00354115138
379	0.00354115138
380	0.00354115138
381	0.00354115138
382	0.00354115138
383	0.00354115138
384	0.00354115138
385	0.00354115138
386	0.00354115138
387	0.00354115138
388	0.00354115138
389	0.00354115138
390	0.00354115138
391	0.00354115138
392	0.00354115138
393	0.00354115138
394	0.00354115138
395	0.00354115138
396	0.00354115138
397	0.00354115138
398	0.00354115138
399	0.00354115138
400	0.00354115138
401	0.00354115138
402	0.00354115138
403	0.00354115138
404	0.00354115138
405	0.00354115138
406	0.00354115138
407	0.00354115138
408	0.00354115138
409	0.00354115138
410	0.00354115138
411	0.00354115138
412	0.00354115138
413	0.00354115138
414	0.00354115138
415	0.00354115138
416	0.00354115138
417	0.00354115138
418	0.00354115138
419	0.00354115138
420	0.00354115138
421	0.00354115138
422	0.00354115138
423	0.00354115138
424	0.00354115138
425	0.00354115138
426	0.00354115138
427	0.00354115138
428	0.00354115138
429	0.00354115138
430	0.00354115138
431	0.00354115138
432	0.00354115138
433	0.00354115138
434	0.00354115138
435	0.00354115138
436	0.00354115138
437	0.00354115138
438	0.00354115138
439	0.00354115138
440	0.00354115138
441	0.00354115138
442	0.00354115138
443	0.00354115138
444	0.00354115138
445	0.00354115138
446	0.00354115138
447	0.00354115138
448	0.00354115138
449	0.00354115138
450	0.00354115138
451	0.00354115138
452	0.00354115138
453	0.00354115138
454	0.00354115138
455	0.00354115138
456	0.00354115138
457	0.00354115138
458	0.00354115138
459	0.00354115138
460	0.00354115138
461	0.00354115138
462	0.00354115138
463	0.00354115138
464	0.00354115138
465	0.00354115138
466	0.00354115138
467	0.00354115138
468	0.00354115138
469	0.00354115138
470	0.00354115138
471	0.00354115138
472	0.00354115138
473	0.00354115138
474	0.00354115138
475	0.00354115138
476	0.00354115138
477	0.00354115138
478	0.00354115138
479	0.00354115138
480	0.00354115138
481	0.00354115138
482	0.00354115138
483	0.00354115138
484	0.00354115138
485	0.00354115138
486	0.00354115138
487	0.00354115138
488	0.00354115138
489	0.00354115138
490	0.00354115138
491	0.00354115138
492	0.00354115138
493	0.00354115138
494	0.00354115138
495	0.00354115138
496	0.00354115138
497	0.00354115138
498	0.00354115138
499	0.00354115138
500	0.00354115138
501	0.00354115138
502	0.00354115138
503	0.00354115138
504	0.00354115138
505	0.00354115138
506	0.00354115138
507	0.00354115138
508	0.00354115138
509	0.00354115138
510	0.00354115138
511	0.00354115138
512	0.00354115138
513	0.00354115138
514	0.00354115138
515	0.00354115138
516	0.00354115138
517	0.00354115138
518	0.00354115138
519	0.00354115138
520	0.00354115138
521	0.00354115138
522	0.00354115138
523	0.00354115138
524	0.00354115138
525	0.00354115138
526	0.00354115138
527	0.00354115138
528	0.00354115138
529	0.00354115138
530	0.00354115138
531	0.00354115138
532	0.00354115138
533	0.00354115138
534	0.00354115138
535	0.00354115138
536	0.00354115138
537	0.00354115138
538	0.00354115138
539	0.00354115138
540	0.00354115138
541	0.00354115138
542	0.00354115138
543	0.00354115138
544	0.00354115138
545	0.00354115138
546	0.00354115138
547	0.00354115138
548	0.00354115138
549	0.00354115138
550	0.00354115138
551	0.00354115138
552	0.00354115138
553	0.00354115138
554	0.00354115138
555	0.00354115138
556	0.00354115138
557	0.00354115138
558	0.00354115138
559	0.00354115138
560	0.00354115138
561	0.00354115138
562	0.00354115138
563	0.00354115138
564	0.00354115138
565	0.00354115138
566	0.00354115138
567	0.00354115138
568	0.00354115138
569	0.00354115138
570	0.00354115138
571	0.00354115138
572	0.00354115138
573	0.00354115138
574	0.00354115138
