Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
XGBoost,0.99634,0.25260960334029225,0.937984496124031,0.3980263157894737,0.967199935979429
CatBoost,0.99805,0.39215686274509803,0.9302325581395349,0.5517241379310345,0.9641850778201554
LightGBM,0.99749,0.32865168539325845,0.9069767441860465,0.4824742268041237,0.952291828551855
Decision Tree,0.99899,0.5686274509803921,0.8992248062015504,0.6966966966966966,0.9491718347676255
Random Forest,0.99919,0.6363636363636364,0.8682170542635659,0.7344262295081967,0.9337881137985832
Logistic Regression,0.95598,0.024694104560622914,0.8604651162790697,0.04801038062283737,0.9082842448153466
